n,p,k,ph,humidity,temperature,pump,total_nutrients,temp_ph_interaction,yield_ton_ha,irrigation_volume_l_m2,fertilizer_kg_ha,humidity_range,ph_range,temperature_range,source
0,0,0,7.74,75.6,20.3,0,0,157.09,0.389,0.252,123.53,excesso,alcalino,ideal,synthetic_agronomic_soy
0,1,1,7.48,43.4,25.5,0,2,190.63,1.099,3.199,58.42,baixa,alcalino,ideal,synthetic_agronomic_soy
1,1,1,5.2,92.7,21.7,0,3,112.73,0.514,0.188,31.34,excesso,acido,ideal,synthetic_agronomic_soy
0,1,0,7.44,86.4,12.6,0,1,93.98,0.32,0.251,78.43,excesso,alcalino,baixa,synthetic_agronomic_soy
0,1,1,7.32,77.3,31.7,0,2,231.82,1.869,0.867,50.38,excesso,alcalino,ideal,synthetic_agronomic_soy
0,1,0,7.41,30.6,30.4,1,1,225.38,0.778,5.58,92.9,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,0,5.26,52.3,39.1,0,2,205.63,0.482,5.976,50.15,baixa,acido,estresse,synthetic_agronomic_soy
1,0,0,5.15,18.5,26.3,1,1,135.48,0.01,4.938,92.09,critica,acido,ideal,synthetic_agronomic_soy
1,1,1,7.57,27.3,22.3,1,3,169.16,0.04,4.475,24.7,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,0,5.32,69.6,27.3,0,1,145.52,1.493,0.0,86.28,adequada,acido,ideal,synthetic_agronomic_soy
1,1,0,5.91,74.6,17.8,0,2,105.37,1.781,0.0,47.73,adequada,acido,baixa,synthetic_agronomic_soy
0,1,0,6.17,92.4,30.8,0,1,189.76,1.534,1.295,69.07,excesso,ideal,ideal,synthetic_agronomic_soy
1,0,0,5.17,41.1,35.1,1,1,181.59,0.497,5.333,91.29,baixa,acido,estresse,synthetic_agronomic_soy
0,1,1,4.86,44.6,16.6,0,2,80.73,0.0,3.702,62.9,baixa,acido,baixa,synthetic_agronomic_soy
1,1,1,7.78,52.6,21.6,0,3,167.72,0.197,1.19,36.77,baixa,alcalino,ideal,synthetic_agronomic_soy
1,1,0,7.43,30.2,38.0,0,2,282.59,0.091,10.067,58.65,critica,alcalino,estresse,synthetic_agronomic_soy
1,1,1,7.54,25.4,27.2,1,3,204.75,0.146,4.171,24.93,critica,alcalino,ideal,synthetic_agronomic_soy
0,0,1,5.65,53.1,28.0,0,1,158.05,2.168,2.983,81.66,baixa,acido,ideal,synthetic_agronomic_soy
0,0,1,5.46,33.2,33.7,0,1,183.86,0.593,7.554,87.43,critica,acido,estresse,synthetic_agronomic_soy
1,1,0,6.08,68.6,29.3,0,2,178.3,4.391,1.321,32.01,adequada,ideal,ideal,synthetic_agronomic_soy
1,1,0,6.16,50.0,14.1,0,2,86.78,0.633,2.309,31.27,baixa,ideal,baixa,synthetic_agronomic_soy
0,1,0,4.82,81.6,36.1,0,1,173.98,0.0,2.406,103.52,excesso,acido,estresse,synthetic_agronomic_soy
1,0,1,7.14,71.0,39.7,0,2,283.26,0.265,2.312,37.51,adequada,alcalino,estresse,synthetic_agronomic_soy
1,1,1,7.79,40.0,13.6,1,3,105.93,0.095,2.668,28.87,critica,alcalino,baixa,synthetic_agronomic_soy
0,0,1,6.39,81.6,15.6,0,1,99.86,0.841,0.077,52.46,excesso,ideal,baixa,synthetic_agronomic_soy
1,1,0,5.96,79.4,33.1,0,2,197.19,1.758,2.121,40.17,excesso,acido,estresse,synthetic_agronomic_soy
1,0,1,5.98,46.0,30.1,0,2,180.15,2.323,4.754,33.33,baixa,acido,ideal,synthetic_agronomic_soy
1,1,0,5.09,38.1,23.5,0,2,119.45,0.0,3.914,64.25,critica,acido,ideal,synthetic_agronomic_soy
0,1,1,5.6,69.6,28.2,1,2,157.75,2.35,0.726,49.95,adequada,acido,ideal,synthetic_agronomic_soy
1,1,0,6.31,26.2,33.1,0,2,208.74,0.099,8.926,29.92,critica,ideal,estresse,synthetic_agronomic_soy
0,1,0,6.1,31.0,27.1,1,1,165.4,1.0,4.261,67.48,critica,ideal,ideal,synthetic_agronomic_soy
1,0,0,6.44,15.6,16.2,1,1,104.29,0.407,4.487,60.01,critica,ideal,baixa,synthetic_agronomic_soy
0,1,0,7.35,78.0,14.7,0,1,107.88,0.0,0.251,83.23,excesso,alcalino,baixa,synthetic_agronomic_soy
1,1,0,5.48,68.2,25.2,0,2,137.8,1.955,0.237,52.21,adequada,acido,ideal,synthetic_agronomic_soy
1,0,0,4.88,71.4,39.7,0,1,193.79,0.304,2.502,98.12,adequada,acido,estresse,synthetic_agronomic_soy
1,1,1,4.91,77.5,28.7,0,3,141.22,0.68,0.358,29.23,excesso,acido,ideal,synthetic_agronomic_soy
1,1,0,5.2,51.7,22.7,0,2,118.34,1.33,2.426,67.04,baixa,acido,ideal,synthetic_agronomic_soy
1,1,0,6.51,60.5,39.3,1,2,255.65,1.177,3.493,29.89,adequada,ideal,estresse,synthetic_agronomic_soy
0,1,1,7.22,26.2,23.7,0,2,170.93,0.497,4.876,49.38,critica,alcalino,ideal,synthetic_agronomic_soy
0,0,1,7.46,24.2,27.3,1,1,203.48,0.0,4.381,87.43,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,1,6.71,68.5,15.5,0,2,103.9,1.345,0.94,37.8,adequada,ideal,baixa,synthetic_agronomic_soy
1,0,0,6.01,52.7,34.1,0,1,205.05,2.082,4.853,65.0,baixa,ideal,estresse,synthetic_agronomic_soy
0,1,0,5.26,60.2,33.0,0,1,173.74,1.059,3.042,87.85,adequada,acido,estresse,synthetic_agronomic_soy
1,1,1,6.0,76.2,35.8,0,3,215.12,1.898,2.191,13.39,excesso,acido,estresse,synthetic_agronomic_soy
0,0,0,5.8,65.8,21.8,1,0,126.12,1.703,0.193,97.06,adequada,acido,ideal,synthetic_agronomic_soy
0,0,1,7.41,59.3,25.1,0,1,185.86,1.335,1.236,87.24,adequada,alcalino,ideal,synthetic_agronomic_soy
1,0,1,6.26,59.7,17.1,0,2,106.74,1.37,1.24,27.53,adequada,ideal,baixa,synthetic_agronomic_soy
1,1,0,5.48,39.3,40.9,1,2,224.27,0.0,7.132,41.91,critica,acido,estresse,synthetic_agronomic_soy
0,1,1,5.67,17.5,14.6,0,2,82.63,0.0,5.739,46.67,critica,acido,baixa,synthetic_agronomic_soy
1,0,1,5.21,49.9,31.5,1,2,163.94,0.523,2.758,53.18,baixa,acido,ideal,synthetic_agronomic_soy
0,0,1,7.56,32.2,33.2,1,1,250.53,0.0,5.174,84.01,critica,alcalino,estresse,synthetic_agronomic_soy
0,1,1,4.95,47.7,16.7,0,2,82.84,0.022,3.019,78.65,baixa,acido,baixa,synthetic_agronomic_soy
1,1,1,4.84,83.3,23.0,0,3,111.09,0.605,0.0,37.06,excesso,acido,ideal,synthetic_agronomic_soy
1,0,1,5.35,33.7,13.3,0,2,71.11,0.0,3.988,58.16,critica,acido,baixa,synthetic_agronomic_soy
1,1,1,7.23,19.7,28.7,1,3,207.56,0.059,5.639,18.05,critica,alcalino,ideal,synthetic_agronomic_soy
0,0,0,6.37,37.5,41.8,0,0,266.59,0.296,9.416,79.04,critica,ideal,estresse,synthetic_agronomic_soy
1,0,1,6.68,38.5,24.9,0,2,166.25,1.878,3.208,34.39,critica,ideal,ideal,synthetic_agronomic_soy
1,1,0,5.87,68.0,41.7,0,2,244.91,0.987,3.927,39.92,adequada,acido,estresse,synthetic_agronomic_soy
1,1,0,5.01,59.6,15.8,1,2,79.03,0.314,0.88,54.62,adequada,acido,baixa,synthetic_agronomic_soy
0,1,1,7.37,77.7,23.8,0,2,175.18,1.687,0.513,62.14,excesso,alcalino,ideal,synthetic_agronomic_soy
0,0,1,5.38,68.1,39.1,0,1,209.97,0.31,2.304,86.28,adequada,acido,estresse,synthetic_agronomic_soy
0,0,1,4.9,47.5,38.3,1,1,187.64,0.27,5.143,96.86,baixa,acido,estresse,synthetic_agronomic_soy
0,1,0,6.52,80.1,21.7,0,1,141.49,2.157,0.0,60.16,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,0,5.05,28.4,32.4,0,1,163.41,0.057,8.832,89.61,critica,acido,estresse,synthetic_agronomic_soy
0,1,1,5.09,16.8,38.6,1,2,196.29,0.0,8.638,57.44,critica,acido,estresse,synthetic_agronomic_soy
1,0,1,7.2,22.2,35.0,1,2,252.09,0.0,8.164,56.51,critica,alcalino,estresse,synthetic_agronomic_soy
1,1,1,6.27,72.8,30.9,0,3,193.61,3.9,1.046,0.16,adequada,ideal,ideal,synthetic_agronomic_soy
0,0,0,5.52,52.0,16.6,0,0,91.58,0.278,2.093,113.68,baixa,acido,baixa,synthetic_agronomic_soy
1,1,1,5.85,27.9,14.2,1,3,82.95,0.467,4.025,12.71,critica,acido,baixa,synthetic_agronomic_soy
1,1,1,6.99,55.1,30.4,1,3,212.7,3.725,2.006,12.06,adequada,alcalino,ideal,synthetic_agronomic_soy
0,1,0,5.0,27.2,27.0,1,1,135.02,0.335,4.761,95.33,critica,acido,ideal,synthetic_agronomic_soy
0,0,0,5.15,70.7,19.1,1,0,98.57,0.353,0.343,137.86,adequada,acido,ideal,synthetic_agronomic_soy
1,0,1,6.65,50.7,20.8,0,2,138.18,2.043,2.322,30.76,baixa,ideal,ideal,synthetic_agronomic_soy
1,1,1,6.62,45.5,23.8,0,3,157.33,3.193,3.042,0.39,baixa,ideal,ideal,synthetic_agronomic_soy
1,1,1,7.72,39.1,26.9,1,3,207.33,0.261,4.019,31.44,critica,alcalino,ideal,synthetic_agronomic_soy
1,0,0,5.92,65.4,23.7,0,1,140.44,2.836,0.81,63.87,adequada,acido,ideal,synthetic_agronomic_soy
1,0,1,5.0,43.9,23.6,1,2,117.98,0.882,2.032,69.63,baixa,acido,ideal,synthetic_agronomic_soy
1,1,1,6.41,22.0,15.5,1,3,99.22,0.117,4.619,0.0,critica,ideal,baixa,synthetic_agronomic_soy
0,0,1,6.72,24.4,38.0,1,1,254.95,0.017,7.851,66.1,critica,ideal,estresse,synthetic_agronomic_soy
1,0,0,5.22,92.0,30.3,0,1,158.0,0.66,0.657,92.91,excesso,acido,ideal,synthetic_agronomic_soy
1,1,0,6.46,87.7,16.4,0,2,105.81,0.701,0.205,27.83,excesso,ideal,baixa,synthetic_agronomic_soy
0,1,0,5.39,71.0,24.7,0,1,133.3,1.759,0.0,90.78,adequada,acido,ideal,synthetic_agronomic_soy
1,1,0,7.33,36.3,24.5,1,2,179.7,1.014,3.054,55.54,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,0,7.31,92.5,30.0,0,2,219.3,0.077,1.173,54.12,excesso,alcalino,ideal,synthetic_agronomic_soy
1,0,0,6.09,77.3,30.3,0,1,184.29,2.572,1.712,57.76,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,1,7.7,72.4,31.4,0,2,241.45,0.865,1.4,60.06,adequada,alcalino,ideal,synthetic_agronomic_soy
1,1,1,7.74,50.9,32.9,1,3,254.91,0.683,2.765,28.91,baixa,alcalino,estresse,synthetic_agronomic_soy
1,1,0,5.19,36.8,15.1,1,2,78.34,0.133,2.464,68.21,critica,acido,baixa,synthetic_agronomic_soy
1,0,0,5.9,22.7,21.1,1,1,124.84,0.0,4.947,63.84,critica,acido,ideal,synthetic_agronomic_soy
0,1,0,6.6,87.2,12.5,0,1,82.65,0.281,0.0,58.84,excesso,ideal,baixa,synthetic_agronomic_soy
0,1,1,5.05,51.5,25.6,1,2,129.59,1.035,1.193,68.39,baixa,acido,ideal,synthetic_agronomic_soy
0,1,0,5.95,31.2,24.9,0,1,148.0,0.638,4.255,64.87,critica,acido,ideal,synthetic_agronomic_soy
0,0,1,5.58,39.5,34.0,0,1,190.01,0.58,6.984,77.21,critica,acido,estresse,synthetic_agronomic_soy
1,1,0,7.66,61.3,17.0,0,2,130.26,0.464,1.085,69.03,adequada,alcalino,baixa,synthetic_agronomic_soy
1,1,1,6.03,29.1,30.9,0,3,186.74,0.588,7.446,9.86,critica,ideal,ideal,synthetic_agronomic_soy
1,0,1,7.09,83.5,21.2,0,2,150.27,1.401,0.0,50.18,excesso,alcalino,ideal,synthetic_agronomic_soy
1,1,1,5.96,75.7,23.5,0,3,139.81,3.443,0.0,13.29,excesso,acido,ideal,synthetic_agronomic_soy
1,0,1,5.2,72.6,33.6,1,2,174.46,1.224,0.443,59.9,adequada,acido,estresse,synthetic_agronomic_soy
1,1,1,7.39,49.6,14.1,1,3,104.53,0.324,1.505,22.23,baixa,alcalino,baixa,synthetic_agronomic_soy
0,0,0,4.8,65.2,22.3,0,0,106.99,0.244,0.627,142.79,adequada,acido,ideal,synthetic_agronomic_soy
0,1,0,4.97,61.7,23.7,0,1,117.93,0.846,0.519,94.73,adequada,acido,ideal,synthetic_agronomic_soy
1,1,0,5.89,67.0,33.5,0,2,197.26,2.509,2.407,49.85,adequada,acido,estresse,synthetic_agronomic_soy
1,1,0,6.86,21.8,18.0,0,2,123.33,0.409,5.389,37.31,critica,alcalino,baixa,synthetic_agronomic_soy
1,0,0,5.83,48.3,40.4,1,1,235.46,0.524,4.634,78.36,baixa,acido,estresse,synthetic_agronomic_soy
1,0,0,5.0,18.3,41.9,0,1,209.62,0.026,13.623,100.56,critica,acido,estresse,synthetic_agronomic_soy
1,1,1,5.75,54.5,36.6,0,3,210.39,1.623,5.139,11.49,baixa,acido,estresse,synthetic_agronomic_soy
1,1,1,5.53,41.4,21.0,1,3,116.19,1.005,3.172,21.45,baixa,acido,ideal,synthetic_agronomic_soy
1,1,0,4.82,26.6,31.9,0,2,153.72,0.0,7.315,69.81,critica,acido,ideal,synthetic_agronomic_soy
0,1,1,6.4,23.3,14.5,0,2,92.83,0.295,6.177,19.29,critica,ideal,baixa,synthetic_agronomic_soy
1,1,0,5.15,62.0,38.1,0,2,196.41,0.0,3.922,60.07,adequada,acido,estresse,synthetic_agronomic_soy
1,0,0,5.66,28.6,27.5,1,1,155.6,0.0,4.193,71.88,critica,acido,ideal,synthetic_agronomic_soy
1,1,1,6.72,89.0,17.3,0,3,116.27,1.014,0.272,9.66,excesso,ideal,baixa,synthetic_agronomic_soy
1,0,1,6.98,61.5,21.8,0,2,152.22,2.868,1.564,42.25,adequada,alcalino,ideal,synthetic_agronomic_soy
1,1,0,5.59,42.7,36.0,0,2,201.38,0.676,6.084,53.44,baixa,acido,estresse,synthetic_agronomic_soy
0,0,1,5.79,62.3,38.1,0,1,220.55,1.228,3.62,70.89,adequada,acido,estresse,synthetic_agronomic_soy
1,1,1,5.54,16.8,27.6,1,3,152.88,0.084,5.435,12.42,critica,acido,ideal,synthetic_agronomic_soy
1,1,0,7.67,91.7,26.4,0,2,202.58,0.356,0.504,55.66,excesso,alcalino,ideal,synthetic_agronomic_soy
0,0,1,5.37,53.6,34.5,1,1,185.44,1.044,3.933,96.95,baixa,acido,estresse,synthetic_agronomic_soy
1,1,1,5.35,77.6,36.8,0,3,196.79,0.543,2.151,38.26,excesso,acido,estresse,synthetic_agronomic_soy
1,0,0,6.14,21.6,34.9,1,1,214.39,0.043,7.385,73.95,critica,ideal,estresse,synthetic_agronomic_soy
0,0,1,5.37,53.9,23.5,0,1,126.32,1.403,2.106,79.26,baixa,acido,ideal,synthetic_agronomic_soy
1,0,0,5.27,54.3,31.3,0,1,164.73,1.05,3.414,83.01,baixa,acido,ideal,synthetic_agronomic_soy
0,0,1,5.09,90.0,37.7,0,1,191.91,0.046,1.422,90.05,excesso,acido,estresse,synthetic_agronomic_soy
1,1,0,6.72,60.7,16.6,0,2,111.24,1.287,1.318,40.2,adequada,ideal,baixa,synthetic_agronomic_soy
0,1,0,6.64,52.9,23.6,1,1,156.91,2.581,1.935,73.63,baixa,ideal,ideal,synthetic_agronomic_soy
1,0,0,6.75,36.4,13.7,1,1,92.47,0.0,3.457,71.04,critica,ideal,baixa,synthetic_agronomic_soy
0,1,0,7.12,41.5,24.3,0,1,172.77,1.565,2.955,78.55,baixa,alcalino,ideal,synthetic_agronomic_soy
0,1,0,5.78,56.7,35.2,0,1,203.24,1.348,4.353,70.01,adequada,acido,estresse,synthetic_agronomic_soy
0,1,1,7.56,50.1,17.9,0,2,135.32,0.61,3.0,56.61,baixa,alcalino,baixa,synthetic_agronomic_soy
0,0,0,7.0,16.7,28.3,1,0,197.79,0.0,6.897,104.83,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,1,7.21,81.1,13.1,0,2,94.49,0.931,0.192,53.58,excesso,alcalino,baixa,synthetic_agronomic_soy
1,1,1,6.96,86.7,38.9,0,3,271.06,0.297,2.901,9.89,excesso,alcalino,estresse,synthetic_agronomic_soy
1,0,1,5.88,26.2,36.6,1,2,215.04,0.0,7.014,43.65,critica,acido,estresse,synthetic_agronomic_soy
1,0,0,5.65,59.3,27.7,1,1,156.66,2.281,0.99,79.9,adequada,acido,ideal,synthetic_agronomic_soy
1,1,1,6.07,23.7,33.2,1,3,201.28,0.036,7.086,7.82,critica,ideal,estresse,synthetic_agronomic_soy
1,1,0,5.09,68.8,15.1,1,2,76.96,0.382,0.0,60.05,adequada,acido,baixa,synthetic_agronomic_soy
0,0,1,6.15,37.5,37.4,1,1,229.88,0.04,6.161,63.99,critica,ideal,estresse,synthetic_agronomic_soy
0,1,1,4.93,67.8,33.5,0,2,164.93,0.907,2.459,65.76,adequada,acido,estresse,synthetic_agronomic_soy
0,0,1,4.81,73.2,15.6,0,1,75.06,0.375,0.285,99.74,adequada,acido,baixa,synthetic_agronomic_soy
1,0,0,7.59,76.5,41.4,0,1,314.57,0.091,3.238,96.26,excesso,alcalino,estresse,synthetic_agronomic_soy
0,1,1,6.87,23.6,12.7,0,2,87.06,0.0,5.546,48.04,critica,alcalino,baixa,synthetic_agronomic_soy
0,1,0,6.49,88.3,30.9,0,1,200.11,1.353,0.89,59.42,excesso,ideal,ideal,synthetic_agronomic_soy
0,1,1,5.82,33.4,17.2,0,2,99.89,0.337,5.252,42.76,critica,acido,baixa,synthetic_agronomic_soy
0,1,1,6.51,18.0,33.6,0,2,218.65,0.0,10.509,34.7,critica,ideal,estresse,synthetic_agronomic_soy
1,0,1,7.47,59.4,14.1,0,2,105.48,0.078,1.612,56.87,adequada,alcalino,baixa,synthetic_agronomic_soy
1,1,1,6.76,44.7,14.4,1,3,97.53,0.816,2.29,13.56,baixa,ideal,baixa,synthetic_agronomic_soy
0,0,1,6.61,81.4,26.0,0,1,171.72,2.698,0.0,62.76,excesso,ideal,ideal,synthetic_agronomic_soy
0,0,1,6.18,79.7,41.8,0,1,258.48,0.34,3.46,65.51,excesso,ideal,estresse,synthetic_agronomic_soy
0,1,0,5.84,40.4,20.3,1,1,118.47,0.946,2.544,81.55,baixa,acido,ideal,synthetic_agronomic_soy
0,1,0,6.9,91.2,30.4,1,1,209.46,1.027,0.757,77.21,excesso,alcalino,ideal,synthetic_agronomic_soy
0,1,1,7.74,38.3,27.6,1,2,213.38,0.407,3.751,62.13,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,0,6.07,56.2,37.3,0,1,226.35,1.286,4.793,71.18,adequada,ideal,estresse,synthetic_agronomic_soy
0,0,0,5.98,35.5,20.7,0,0,123.46,0.681,4.763,93.06,critica,acido,ideal,synthetic_agronomic_soy
0,1,1,6.08,89.9,28.6,0,2,174.31,1.931,0.129,35.2,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,1,6.08,28.2,40.5,0,3,246.22,0.467,11.086,11.28,critica,ideal,estresse,synthetic_agronomic_soy
1,1,1,7.77,18.6,22.0,0,3,170.81,0.043,7.024,37.83,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,0,6.92,49.8,25.2,1,2,174.27,2.286,2.215,37.77,baixa,alcalino,ideal,synthetic_agronomic_soy
1,0,1,5.88,94.4,38.7,0,2,227.25,0.526,2.381,41.45,excesso,acido,estresse,synthetic_agronomic_soy
0,0,1,5.91,86.3,22.0,1,1,129.97,1.278,0.32,70.58,excesso,acido,ideal,synthetic_agronomic_soy
0,0,1,6.09,74.9,23.4,0,1,142.69,2.755,0.0,64.77,adequada,ideal,ideal,synthetic_agronomic_soy
1,0,1,4.91,86.3,21.1,0,2,103.72,0.474,0.587,60.66,excesso,acido,ideal,synthetic_agronomic_soy
1,0,1,6.38,86.5,36.3,0,2,231.63,1.067,2.36,30.93,excesso,ideal,estresse,synthetic_agronomic_soy
1,1,0,7.23,56.5,39.9,1,2,288.73,0.134,3.635,43.31,adequada,alcalino,estresse,synthetic_agronomic_soy
0,0,0,6.78,40.3,30.9,1,0,209.78,1.114,4.233,102.67,baixa,ideal,ideal,synthetic_agronomic_soy
0,1,1,5.4,76.8,30.7,0,2,165.68,2.134,1.195,60.87,excesso,acido,ideal,synthetic_agronomic_soy
1,1,1,6.98,67.9,23.7,0,3,165.52,4.004,0.435,9.66,adequada,alcalino,ideal,synthetic_agronomic_soy
1,0,1,6.96,44.9,12.4,0,2,86.11,0.163,3.14,36.17,baixa,alcalino,baixa,synthetic_agronomic_soy
1,0,1,5.59,22.6,17.2,1,2,96.21,0.0,4.496,48.96,critica,acido,baixa,synthetic_agronomic_soy
1,0,0,6.67,74.7,16.4,0,1,109.52,1.496,0.168,61.46,adequada,ideal,baixa,synthetic_agronomic_soy
0,1,0,6.63,36.0,15.5,0,1,102.65,0.155,3.792,61.94,critica,ideal,baixa,synthetic_agronomic_soy
0,0,0,7.32,89.9,31.6,0,0,231.45,0.155,1.009,115.72,excesso,alcalino,ideal,synthetic_agronomic_soy
1,1,1,5.21,34.3,16.1,0,3,83.8,0.16,4.185,21.57,critica,acido,baixa,synthetic_agronomic_soy
1,1,0,5.38,24.8,14.6,1,2,78.45,0.289,4.104,62.7,critica,acido,baixa,synthetic_agronomic_soy
1,0,0,6.26,81.5,23.5,0,1,146.92,2.458,0.0,57.06,excesso,ideal,ideal,synthetic_agronomic_soy
1,1,1,4.93,27.3,19.5,1,3,96.04,0.0,4.288,36.96,critica,acido,ideal,synthetic_agronomic_soy
1,0,0,6.05,29.3,16.4,1,1,99.02,0.127,3.275,62.15,critica,ideal,baixa,synthetic_agronomic_soy
1,0,0,7.16,63.0,16.4,0,1,117.38,0.751,0.152,79.25,adequada,alcalino,baixa,synthetic_agronomic_soy
1,0,0,5.25,85.0,19.7,0,1,103.28,0.661,0.787,92.87,excesso,acido,ideal,synthetic_agronomic_soy
0,1,1,6.18,30.7,28.1,1,2,173.69,0.957,4.085,34.4,critica,ideal,ideal,synthetic_agronomic_soy
1,1,1,7.77,39.8,34.7,0,3,269.93,0.341,7.285,28.86,critica,alcalino,estresse,synthetic_agronomic_soy
0,0,0,6.32,77.2,37.6,0,0,237.44,1.033,2.508,84.33,excesso,ideal,estresse,synthetic_agronomic_soy
1,0,1,6.29,92.7,34.5,0,2,217.44,0.469,1.405,28.7,excesso,ideal,estresse,synthetic_agronomic_soy
1,1,0,6.48,55.1,30.8,0,2,199.77,3.622,3.229,26.61,adequada,ideal,ideal,synthetic_agronomic_soy
1,1,1,5.36,26.5,39.2,1,3,210.19,0.11,8.042,24.59,critica,acido,estresse,synthetic_agronomic_soy
1,1,1,5.24,16.1,27.6,0,3,144.62,0.038,7.774,34.64,critica,acido,ideal,synthetic_agronomic_soy
1,0,0,6.83,33.4,31.0,1,1,211.8,0.529,4.624,70.76,critica,alcalino,ideal,synthetic_agronomic_soy
0,1,0,5.99,25.5,24.3,0,1,145.78,0.344,5.264,71.36,critica,acido,ideal,synthetic_agronomic_soy
0,0,1,5.67,69.2,21.8,1,1,123.72,1.909,0.056,83.32,adequada,acido,ideal,synthetic_agronomic_soy
1,1,0,4.89,24.7,22.0,1,2,107.43,0.733,4.514,64.9,critica,acido,ideal,synthetic_agronomic_soy
1,1,0,7.34,55.5,16.4,0,2,120.71,1.012,1.575,43.37,adequada,alcalino,baixa,synthetic_agronomic_soy
1,0,0,4.9,70.5,35.9,1,1,175.79,0.548,1.081,101.11,adequada,acido,estresse,synthetic_agronomic_soy
0,0,1,7.05,61.5,13.7,0,1,96.31,0.35,0.803,79.77,adequada,alcalino,baixa,synthetic_agronomic_soy
1,1,0,5.95,31.0,32.2,1,2,191.7,0.277,5.695,49.86,critica,acido,estresse,synthetic_agronomic_soy
1,1,1,6.6,79.3,37.9,0,3,250.21,1.158,1.619,0.0,excesso,ideal,estresse,synthetic_agronomic_soy
0,0,0,5.54,72.2,26.9,0,0,149.23,1.686,0.825,118.64,adequada,acido,ideal,synthetic_agronomic_soy
0,1,0,5.27,74.1,14.1,1,1,74.29,0.0,0.008,91.32,adequada,acido,baixa,synthetic_agronomic_soy
0,1,1,6.4,25.5,24.9,1,2,159.06,0.567,4.18,26.06,critica,ideal,ideal,synthetic_agronomic_soy
1,0,1,6.89,24.9,22.3,1,2,153.55,0.536,4.147,35.43,critica,alcalino,ideal,synthetic_agronomic_soy
1,1,1,5.39,89.2,41.6,0,3,223.9,0.0,2.715,19.38,excesso,acido,estresse,synthetic_agronomic_soy
1,0,1,6.11,46.8,32.7,0,2,200.0,1.695,4.641,38.43,baixa,ideal,estresse,synthetic_agronomic_soy
0,1,0,6.13,39.1,33.6,1,1,206.35,1.206,4.672,70.09,critica,ideal,estresse,synthetic_agronomic_soy
